id_circ,barrio,perimetro,area,total,masculino,femenino,id_comuna,id_barrio
1,SAN TELMO,4157.17556283000,709721.55022900004,11377,5695,5682,1,20
2,SAN TELMO,3045.85873489000,523430.86001399998,11365,5870,5495,1,20
3,PUERTO MADERO,14439.58562320000,4248032.90197000001,702,416,286,1,41
4,PUERTO MADERO,8028.11547007000,777372.45509700000,489,307,182,1,41
5,RETIRO,16401.98147680000,3262096.05041000014,5275,3131,2144,1,46
6,RETIRO,2878.66943094000,506278.29864599998,17159,7661,9498,1,46
7,RETIRO,2103.38105860000,274045.26228600001,9011,4132,4879,1,46
8,RETIRO,3002.23193403000,486243.03696499998,9483,4904,4579,1,46
9,SAN NICOLAS,4418.86873719000,1184441.82519000000,12534,7564,4970,1,43
10,SAN NICOLAS,3178.48277049000,552953.58188199997,14356,7632,6724,1,43
11,SAN NICOLAS,3151.36370357000,551579.23760800005,15584,8286,7298,1,43
12,MONSERRAT,3086.33110052000,528858.26216200006,14284,7670,6614,1,42
13,MONSERRAT,3077.82099139000,511682.79925899999,13733,6741,6992,1,42
14,MONSERRAT,3657.82174246000,647703.14746100002,5989,3572,2417,1,42
15,MONSERRAT,3517.08542222000,512380.42085599998,10212,5416,4796,1,42
16,CONSTITUCION,2894.92736852000,298077.37925000000,8563,4349,4214,1,12
17,CONSTITUCION,3116.47990364000,529690.40279199998,12756,6229,6527,1,12
18,CONSTITUCION,3133.84681192000,549094.11747800000,7886,4131,3755,1,12
19,CONSTITUCION,4048.90791204000,725811.68594500003,10799,5784,5015,1,12
20,RECOLETA,15655.55325780000,2449809.67344000004,7501,3429,4072,2,45
21,RECOLETA,3384.37365093000,636595.66411000001,14997,6614,8383,2,45
22,RECOLETA,2626.15301860000,380920.13159599999,17433,7550,9883,2,45
23,RECOLETA,2935.71511214000,443647.96949799999,20922,9026,11896,2,45
24,RECOLETA,2366.07167057000,297623.81685599999,13832,5954,7878,2,45
25,RECOLETA,2120.90956311000,261765.32107700000,13367,5766,7601,2,45
26,RECOLETA,2847.83385028000,491630.31988999998,18623,8314,10309,2,45
27,RECOLETA,2753.99116317000,432441.57953799999,14044,6303,7741,2,45
28,RECOLETA,2776.68103270000,448431.69041099999,18854,8305,10549,2,45
29,RECOLETA,2673.26420878000,303957.31659300003,12569,5558,7011,2,45
30,BALVANERA,2435.44988785000,372621.67427900003,11737,5594,6143,3,25
31,BALVANERA,2667.62871843000,415581.46001400001,14387,6840,7547,3,25
32,BALVANERA,2937.03524157000,433560.75511700002,13128,6447,6681,3,25
33,BALVANERA,3022.72550166000,526528.61724499997,10331,5115,5216,3,25
34,BALVANERA,2863.31368997000,496974.35101699998,15739,7459,8280,3,25
35,BALVANERA,2871.01579705000,494962.91638499999,12141,5332,6809,3,25
36,BALVANERA,2644.22047685000,411907.17565500003,8632,4289,4343,3,25
37,BALVANERA,2825.24050430000,362664.09105400002,11589,5614,5975,3,25
38,BALVANERA,2922.27584592000,428339.60078699997,13108,6414,6694,3,25
39,BALVANERA,2774.98110688000,397924.14004099998,14296,6835,7461,3,25
40,SAN CRISTOBAL,3128.58895559000,495956.04127500003,8356,4018,4338,3,13
41,SAN CRISTOBAL,3865.34062421000,936340.63894199999,17901,8787,9114,3,13
42,SAN CRISTOBAL,3289.60184429000,611654.59397499997,16848,8148,8700,3,13
43,PARQUE PATRICIOS,4240.11853461000,1048153.78006999998,12645,6221,6424,4,17
44,PARQUE PATRICIOS,3034.38018983000,536442.18501400005,9017,4308,4709,4,17
45,PARQUE PATRICIOS,4035.94803967000,1041288.67692000000,6626,3338,3288,4,17
46,PARQUE PATRICIOS,4504.24255659000,1117390.83346000011,6122,3165,2957,4,17
47,BARRACAS,6758.32928522000,2495450.58719999995,10233,5294,4939,4,30
48,BARRACAS,6466.67346280000,2072727.19265999994,14267,7271,6996,4,30
49,BARRACAS,6264.00535517000,2063380.77760999999,12432,6402,6030,4,30
50,BARRACAS,3266.19759078000,587880.98911299999,14660,7071,7589,4,30
51,BARRACAS,4506.27161331000,743971.45370499999,10026,4941,5085,4,30
52,BOCA,4870.19626713000,1204670.05367000005,12484,6524,5960,4,48
53,BOCA,3552.49956454000,772617.40871300001,14884,7563,7321,4,48
54,BOCA,16837.66054790000,3047342.03682000004,13241,6416,6825,4,48
55,NUEVA POMPEYA,5612.38238646000,1485052.82132000010,9973,5150,4823,4,33
58,BOEDO,4205.28218982000,1051550.19280999992,13294,6609,6685,5,14
59,BOEDO,3853.15687438000,831900.92881700001,12152,5906,6246,5,14
60,BOEDO,3839.80682692000,724382.04137200001,14712,7016,7696,5,14
61,ALMAGRO,3259.31955945000,570379.41064300004,14863,6813,8050,5,5
62,ALMAGRO,3007.32911887000,480974.06486500002,9659,4643,5016,5,5
63,ALMAGRO,3638.92550488000,686610.78500100004,19705,8993,10712,5,5
64,ALMAGRO,3528.06864669000,666785.02508499997,21668,10036,11632,5,5
65,ALMAGRO,2777.30518190000,480005.77013500000,13353,6262,7091,5,5
66,ALMAGRO,2939.27732625000,477214.40680900001,12664,5865,6799,5,5
67,ALMAGRO,3780.39870232000,689254.51882300002,20182,9099,11083,5,5
68,CABALLITO,3960.78345964000,973593.82335500000,19160,8771,10389,6,6
69,CABALLITO,4370.53328461000,958089.28743699996,28315,12610,15705,6,6
70,CABALLITO,4288.63226493000,1012942.90691000002,24308,11102,13206,6,6
71,CABALLITO,4087.67427766000,936260.88861999998,29245,13013,16232,6,6
72,CABALLITO,3856.92245496000,803621.81841399998,12639,5968,6671,6,6
73,CABALLITO,5005.64225362000,1390149.38880999992,16146,7616,8530,6,6
74,CABALLITO,3526.64909898000,776421.94805699994,21587,9883,11704,6,6
75,PARQUE CHACABUCO,3862.81240133000,861842.52480400004,9742,4565,5177,7,32
76,PARQUE CHACABUCO,4141.24023358000,923261.26660800003,14937,6978,7959,7,32
77,PARQUE CHACABUCO,4934.94234214000,1191250.85540000000,12762,6325,6437,7,32
78,PARQUE CHACABUCO,4213.95458485000,856730.29323800001,10464,5121,5343,7,32
79,FLORES,4010.23459248000,986231.13037399994,16108,7607,8501,7,10
80,FLORES,3380.47000313000,702946.13536399999,12312,5840,6472,7,10
81,FLORES,3071.04827970000,543212.16976700001,11764,5389,6375,7,10
82,FLORES,3224.89088910000,642299.55322100001,14727,6892,7835,7,10
83,FLORES,3477.22969806000,715615.63518099999,21422,9674,11748,7,10
84,FLORES,3931.58427829000,953951.59659500001,11472,5544,5928,7,10
85,FLORES,2958.38393405000,548571.69921300001,8163,3844,4319,7,10
86,FLORES,9545.36126946000,3501722.41991999978,25453,12664,12789,7,10
87,VILLA SOLDATI,12542.99506160000,8660350.14317999966,28726,14869,13857,8,36
88,VILLA RIACHUELO,10602.86754500000,4224142.28008999955,15703,8274,7429,8,35
91,PARQUE AVELLANEDA,5050.80160726000,1115988.67320999992,7415,3822,3593,9,31
92,PARQUE AVELLANEDA,5369.97151577000,1238087.62685999996,13283,6587,6696,9,31
