id_lista,id_partido,descripcion,nro_lista,especial
81,,Autodeterminación y Libertad,187,0
17,,Frente de Izquierda y los Trabajadores,701,0
23,,Frente para la Victoria,707,0
22,,Alianza Camino Popular,706,0
24,,Frente por Buenos Aires,708,0
18,,Unión PRO,702,0
16,,Energía Ciudadana Organizada - ECO,700,0
800,,SI,800,0
801,,NO,801,0
802,,NO Participo,802,0
BLC,,Votos en BLANCO,BLC,1
NUL,,Votos NULOS,NUL,1
REC,,Votos RECURRIDOS,REC,1
IMP,,Votos de Identidad Impugnada,IMP,1
TEC,,Votos no leídos por motivos técnicos,TEC,1
