"id_establecimiento","id_comuna","descripcion","latitud","longitud","domicilio","ciudadanos_habilitados","geom"
4009,4,"ESC N°14 PROVINCIA DE SAN LUIS",-34.6442169465,-58.4131599414,"CACHI 77",4189,"0101000020E6100000462ACA6CE2344DC08D5F6EB3755241C0"
4010,4,"ESC N°24 MARTIN GUERRICO",-34.6519487202,-58.4097906471,"LYNCH 3536",1732,"0101000020E610000027C0190574344DC0CAF63F0E735341C0"
4015,4,"ESC N°23 DR LORENZO ANADON",-34.6517343712,-58.415063272,"TRAFUL 3847",1738,"0101000020E6100000608115CB20354DC0D7FD28086C5341C0"
4017,10,"INSTITUTO NTRA SRA DEL MILAGRO",-34.6358201899,-58.4801246156,"MARIANO ACOSTA 195/ RAFAELA 865",3511,"0101000020E6100000D70031B9743D4DC0E6E0548E625141C0"
4018,10,"ESC Nº19 FRAGATA ARA LIBERTAD",-34.6373577125,-58.4764377068,"JOSE BONIFACIO 3650",1707,"0101000020E6100000C4A428E9FB3C4DC03B8501F0945141C0"
4024,10,"COLEGIO NTRA SRA DE LA PAZ",-34.6329243753,-58.4742636098,"PERGAMINO 53",3410,"0101000020E61000000FE382ABB43C4DC09B607AAA035141C0"
4030,4,"ESC N° 11 REPUBLICA DE HAITI",-34.6565601013,-58.3902651375,"LAFAYETTE 1879",4518,"0101000020E61000006D2A4135F4314DC0927851290A5441C0"
4032,10,"ESCUELA N°24 PADRE CASTAÑEDA",-34.6267684844,-58.4826355135,"MORON 3745",2101,"0101000020E6100000722F2100C73D4DC0AC541FF3395041C0"
4033,4,"INSTITUTO SAGRADO CORAZON",-34.6506803445,-58.3891553402,"AV V SARSFIELD 1351/CALIFORNIA 3018",4523,"0101000020E6100000839C99D7CF314DC086E3577E495341C0"
4034,10,"ESCUELA N°1 JOSE A FERREYRA",-34.6359668605,-58.4847780807,"RAMON L FALCON 4126",3859,"0101000020E61000004B3649350D3E4DC0F997B15C675141C0"
4037,4,"ESC N°18 JUAN E PESTALOZZI",-34.6347557993,-58.3928648691,"AV CASEROS 2152",1999,"0101000020E61000001344626549324DC04D7893AD3F5141C0"
4038,10,"ESC N°2 MAXIMIO SABA VICTORIA",-34.6360407323,-58.4854309022,"RAMON L FALCON 4151",3866,"0101000020E610000059B58C99223E4DC0821360C8695141C0"
4039,10,"ESC Nº3 A MEDONE DE CAVIGLIA",-34.6345310712,-58.4817322389,"MARIANO ACOSTA 45",2451,"0101000020E61000008FC0E966A93D4DC0C88C6B50385141C0"
4041,4,"ESC DE COM N°18 R DE SUECIA",-34.6372062076,-58.3911064898,"JUAN CARLOS GOMEZ 253",1998,"0101000020E6100000E17807C70F324DC0A03917F98F5141C0"
4045,4,"ESC N°19 PROV DE FORMOSA",-34.6435606106,-58.4086597659,"ELIA 473",1713,"0101000020E6100000A2DD94F64E344DC0A9C2AF31605241C0"
4046,4,"ENET N°7 D LAVALLE DE LAVALLE",-34.6397632508,-58.4030672706,"ZAVALETA 204",2663,"0101000020E610000051A854B597334DC030AF1FC3E35141C0"
4048,4,"ESC N°2 JOSE MARIA GUTIERREZ",-34.6324986634,-58.40608479,"LA RIOJA 1846",4064,"0101000020E6100000FD391E96FA334DC08A0859B7F55041C0"
4049,5,"ESC N°8 ALMAFUERTE",-34.6338727962,-58.414468998,"MAZA 1913/1935",4200,"0101000020E6100000D5CEF3510D354DC065C068BE225141C0"
4051,7,"ESC DE FORM EDUC Y DEPORTIVA",-34.6351282853,-58.4249063196,"AV LA PLATA 1707",2066,"0101000020E6100000DA458D5463364DC0641037E24B5141C0"
4056,10,"ESC MODELO DOMINGO F SARMIENTO",-34.6370156995,-58.4971607977,"AV RIVADAVIA 9441",1394,"0101000020E6100000C57C0BF7A23F4DC00E32FEBA895141C0"
4058,10,"ESC Nº7 RCA ARABE DE EGIPTO",-34.6376751235,-58.5018749786,"AV RIVADAVIA 9799",2436,"0101000020E610000044E275703D404DC0E073A4569F5141C0"
4059,4,"INSTITUTO FELIX F BERNASCONI",-34.6334562415,-58.4022969755,"CATULO CASTILLO 2750",4899,"0101000020E6100000AF86A0777E334DC044581818155141C0"
4060,10,"ESC Nº8 BASE AEREA VC MARAMBIO",-34.636027354,-58.4961572718,"YERBAL 4965",5213,"0101000020E6100000DC06DC14823F4DC04D652658695141C0"
4063,10,"ESC Nº6 CARLOS GUIDO SPANO",-34.6381390236,-58.4952051737,"RAMON L FALCON 4801",2094,"0101000020E6100000FEEC14E2623F4DC0E9541E8AAE5141C0"
4064,10,"ESC Nº1 PROF JOSE ONAINDIA",-34.6400154557,-58.499812878,"RAFAELA 5159",2085,"0101000020E610000098904EDEF93F4DC04195C506EC5141C0"
4070,9,"ESC Nº16 TOMAS LE BRETON",-34.6480985449,-58.4817101467,"GRAL EUGENIO GARZON 4346",2424,"0101000020E61000002B1D97ADA83D4DC02177A3E4F45241C0"
4073,9,"INST NTRA SRA DE LOS REMEDIOS",-34.6502686094,-58.4783168083,"FLORENTINO AMEGHINO 1441",5893,"0101000020E61000004763347C393D4DC0847E75003C5341C0"
4076,4,"ESC DE COM N°1 J V GONZALEZ",-34.6433766759,-58.3735802098,"MONTES DE OCA 1356",6120,"0101000020E61000000CC3EF79D12F4DC0F6FFBA2A5A5241C0"
4077,4,"INSTITUTO ZACCARIA",-34.6485280947,-58.3725994816,"AV MONTES DE OCA 1844",4101,"0101000020E610000041FDFD56B12F4DC008A3F6F7025341C0"
4081,1,"INSTITUTO VOCACIONAL DE ARTE",-34.6272755688,-58.3891422338,"AV JUAN DE GARAY 1684",1041,"0101000020E6100000EAD4A769CF314DC0B4C9DA904A5041C0"
4083,1,"ESC N°6 TOMAS GUIDO",-34.632180391,-58.3855104502,"SAN JOSE 1985",3465,"0101000020E610000008F00B6858314DC03D427C49EB5041C0"
4084,4,"ESC Nº11 ANTONIO BUCICH",-34.6370876005,-58.3676981021,"BRANDSEN 1057",3821,"0101000020E61000000FA93DBB102F4DC0D56A24168C5141C0"
4085,1,"ESC N°4 CNEL MARINA T ESPORA",-34.629369611,-58.3893094893,"SOLIS 1815",3460,"0101000020E61000007148B2E4D4314DC0AE2BF42E8F5041C0"
4086,4,"ESC Nº3 JUAN MARTIN GUTIERREZ",-34.6418338404,-58.3679519681,"ROCHA 1226",3828,"0101000020E610000082BED20C192F4DC0F6FD7C9C275241C0"
4094,4,"ESC Nº14 AGUSTIN R CAFFARENA",-34.6342821487,-58.3577596111,"NECOCHEA 1136",1740,"0101000020E610000089C02211CB2D4DC0338D4E28305141C0"
4095,4,"ESC Nº10 G ARAOZ DE LAMADRID",-34.6374424758,-58.3592352102,"GRAL GREGORIO ARAOZ DE LAMADRID 499",2769,"0101000020E6100000BAB05B6BFB2D4DC036520DB7975141C0"
4097,4,"ESC Nº2 DR CARLOS R VIGNALE",-34.6324016266,-58.3618803328,"WENCESLAO VILLAFAÑE 453",2436,"0101000020E610000086384118522E4DC094175889F25041C0"
4099,4,"ESC Nº8 CARLOS DELLA PENA",-34.6275579858,-58.36250862,"E BRAUN MENENDEZ 260",4550,"0101000020E610000084B5B5AE662E4DC065ADF0D1535041C0"
4101,4,"INST MADRE DE LOS EMIGRANTES",-34.6285247182,-58.3637586725,"NECOCHEA 330",3487,"0101000020E61000000E03E9A48F2E4DC0C4B27A7F735041C0"
4105,7,"ESC Nº12 RECONQUISTA",-34.6382689438,-58.4600243171,"AV VARELA 753",1727,"0101000020E610000095A7AA13E23A4DC034D6F7CBB25141C0"
4106,7,"ESC Nº10 ING OCTAVIO S PICO",-34.6369558856,-58.4654970694,"LAFUENTE 559",3776,"0101000020E61000007ABA7068953B4DC0C8D23CC5875141C0"
4107,7,"ESC Nº16 SANTA CRUZ Y ESPEJO",-34.6439640679,-58.4651311614,"PRIMERA JUNTA 3445",2408,"0101000020E61000002148FB6A893B4DC0FEB6216A6D5241C0"
4110,7,"INSTITUTO ANA MARIA JANER",-34.6318561737,-58.4638672906,"AV J B ALBERDI 2555/ J B ALBERDI S/N",4559,"0101000020E6100000D367DD00603B4DC09AE8C0A9E05041C0"
4112,4,"ESC N°24 PRESIDENTE DERQUI",-34.6472734579,-58.3756712263,"CALIFORNIA 1925/CALIFORNIA S/N",2399,"0101000020E6100000DC80A7FE15304DC0EA9F4EDBD95241C0"
4115,4,"ESC N°20 NIEVES E DE OROMI",-34.6501221061,-58.3777759622,"SAN ANTONIO 682",2743,"0101000020E6100000956E75F65A304DC0960D8033375341C0"
4117,7,"COLEGIO Nº9 J J DE URQUIZA",-34.6279140002,-58.4678663715,"CONDARCO 290 / BACACAY S/N",7347,"0101000020E6100000CF3E960BE33B4DC09FC7677C5F5041C0"
4121,4,"LICEO COM N°3 JOSE M ESTRADA",-34.6412436326,-58.3799678419,"ARCAMENDIA 743",3496,"0101000020E6100000003F47C9A2304DC083647745145241C0"
4122,7,"COLEGIO SCHONTHAL",-34.6258359882,-58.471703397,"AV NAZCA 537/555",4206,"0101000020E610000078C3E3C6603C4DC04BFDC6641B5041C0"
4127,7,"INST MONSEÑOR A DE SAN JOSE",-34.6216847709,-58.4681986792,"FELIPE VALLESE 2549",2452,"0101000020E6100000E2982FEFED3B4DC0E8B7D75D934F41C0"
4131,4,"ESC N°7 JUAN DE GARAY",-34.6270992319,-58.3749800063,"AV CASEROS 734",3823,"0101000020E61000002FDB4758FF2F4DC0B92DA2C9445041C0"
4132,7,"ESCUELA PARA EL HOMBRE NUEVO",-34.6257296422,-58.4598484323,"GRANADEROS 168",1402,"0101000020E610000035EC3C50DC3A4DC082B1AEE8175041C0"
4133,7,"ESC Nº19 LEANDRO N ALEM",-34.627766417,-58.4630684169,"FRAY CAYETANO RODRIGUEZ 95/ S/N",4192,"0101000020E6100000B0326DD3453B4DC0634563A65A5041C0"
4136,7,"ESC Nº8 CNEL ING P A CERVIÑO",-34.6338356299,-58.4636232937,"AV VARELA 358",3160,"0101000020E61000007B0D1202583B4DC0E3BAA286215141C0"
4137,1,"ESC STA CATALINA DE ALEJANDRIA",-34.626585766,-58.3760905459,"PIEDRAS 1527",1735,"0101000020E6100000D67C29BC23304DC0F78D5EF6335041C0"
4141,6,"ESC N°4 O DE E AMERICANOS",-34.6280996738,-58.4400811562,"DEL BARCO CENTENERA 747",4882,"0101000020E610000081BB4E9454384DC0B5CCF291655041C0"
4144,6,"INSTITUTO DR DAMASO CENTENO",-34.6216185796,-58.4434988097,"AV RIVADAVIA  5546/555",5570,"0101000020E6100000FCBCA991C4384DC0E7FB9632914F41C0"
4147,6,"ESC N°14 JOAQUIN V GONZALEZ",-34.6265982953,-58.4411902605,"AV PEDRO GOYENA 984/ CACHIMAYO S/N",3838,"0101000020E6100000A31426EC78384DC07C05795F345041C0"
4148,7,"ESC Nº6 DR C VAZ FERREIRA",-34.6406405722,-58.4572510777,"AV VARELA 1040",3778,"0101000020E610000021640C34873A4DC07C0BA182005241C0"
