id_mesa,id_establecimiento,id_circuito,descripcion,ciudadanos_habilitados,extranjera,id_barrio,id_comuna
1,4367,1,1,342,NO,20,1
2,4367,1,2,341,NO,20,1
3,4367,1,3,344,NO,20,1
4,4367,1,4,340,NO,20,1
5,4367,1,5,342,NO,20,1
6,4367,1,6,341,NO,20,1
7,4367,1,7,341,NO,20,1
8,4367,1,8,340,NO,20,1
9,4367,1,9,341,NO,20,1
10,4367,1,10,339,NO,20,1
11,4367,1,11,341,NO,20,1
12,5043,1,12,340,NO,20,1
13,5043,1,13,341,NO,20,1
14,5043,1,14,341,NO,20,1
15,5043,1,15,339,NO,20,1
16,5043,1,16,342,NO,20,1
17,5043,1,17,342,NO,20,1
18,5043,1,18,341,NO,20,1
19,4369,1,19,341,NO,20,1
20,4369,1,20,341,NO,20,1
21,4369,1,21,340,NO,20,1
22,4369,1,22,339,NO,20,1
23,4369,1,23,342,NO,20,1
24,4369,1,24,340,NO,20,1
25,4369,1,25,344,NO,20,1
26,4369,1,26,341,NO,20,1
27,4369,1,27,341,NO,20,1
28,4369,1,28,342,NO,20,1
29,9009,1,29,342,NO,20,1
30,9009,1,30,340,NO,20,1
31,9009,1,31,341,NO,20,1
32,5113,2,32,350,NO,20,1
33,5113,2,33,350,NO,20,1
34,5113,2,34,351,NO,20,1
35,5113,2,35,349,NO,20,1
36,5113,2,36,350,NO,20,1
37,5113,2,37,350,NO,20,1
38,5113,2,38,353,NO,20,1
39,5113,2,39,349,NO,20,1
40,5113,2,40,348,NO,20,1
41,5113,2,41,352,NO,20,1
42,5113,2,42,348,NO,20,1
43,5113,2,43,350,NO,20,1
44,5113,2,44,350,NO,20,1
45,5113,2,45,350,NO,20,1
46,7749,2,46,352,NO,20,1
47,7749,2,47,351,NO,20,1
48,7749,2,48,350,NO,20,1
49,7749,2,49,352,NO,20,1
50,7749,2,50,348,NO,20,1
51,7749,2,51,352,NO,20,1
52,7749,2,52,347,NO,20,1
53,7749,2,53,351,NO,20,1
54,7749,2,54,351,NO,20,1
55,9012,2,55,349,NO,20,1
56,9012,2,56,350,NO,20,1
57,9012,2,57,350,NO,20,1
58,9012,2,58,350,NO,20,1
59,9012,2,59,347,NO,20,1
60,9012,2,60,350,NO,20,1
61,8066,3,61,312,NO,41,1
62,8066,3,62,313,NO,41,1
63,8066,3,63,311,NO,41,1
64,8066,3,64,311,NO,41,1
65,8066,3,65,313,NO,41,1
66,8066,3,66,313,NO,41,1
67,8066,4,67,333,NO,41,1
68,8066,4,68,333,NO,41,1
69,8066,4,69,335,NO,41,1
70,8066,4,70,334,NO,41,1
71,8066,4,71,335,NO,41,1
72,8066,4,72,335,NO,41,1
73,4636,5,73,351,NO,46,1
74,4636,5,74,354,NO,46,1
75,4636,5,75,349,NO,46,1
76,4636,5,76,351,NO,46,1
77,4636,5,77,350,NO,46,1
78,4636,5,78,350,NO,46,1
79,4636,5,79,352,NO,46,1
80,4636,5,80,351,NO,46,1
81,4636,5,81,350,NO,46,1
82,4636,5,82,352,NO,46,1
83,4636,5,83,352,NO,46,1
84,4636,5,84,351,NO,46,1
85,4636,5,85,351,NO,46,1
86,4639,5,86,351,NO,46,1
87,4639,5,87,349,NO,46,1
88,4639,5,88,352,NO,46,1
89,4639,5,89,350,NO,46,1
90,4639,5,90,350,NO,46,1
91,4639,5,91,350,NO,46,1
92,4639,5,92,349,NO,46,1
93,4639,5,93,351,NO,46,1
94,4639,5,94,349,NO,46,1
95,4596,6,95,347,NO,46,1
96,4596,6,96,348,NO,46,1
97,4596,6,97,349,NO,46,1
98,4596,6,98,349,NO,46,1
99,4596,6,99,347,NO,46,1
100,4596,6,100,349,NO,46,1
101,4596,6,101,347,NO,46,1
102,4596,6,102,347,NO,46,1
103,4596,6,103,348,NO,46,1
104,4596,6,104,349,NO,46,1
105,4596,6,105,348,NO,46,1
106,4596,6,106,347,NO,46,1
107,4596,6,107,350,NO,46,1
108,4596,6,108,348,NO,46,1
109,4596,6,109,352,NO,46,1
110,4596,6,110,346,NO,46,1
111,4596,6,111,349,NO,46,1
112,4596,6,112,349,NO,46,1
113,4596,6,113,346,NO,46,1
114,4596,6,114,347,NO,46,1
115,4593,6,115,349,NO,46,1
116,4593,6,116,349,NO,46,1
117,4593,6,117,346,NO,46,1
118,4593,6,118,348,NO,46,1
119,4593,6,119,351,NO,46,1
120,4593,6,120,348,NO,46,1
121,4593,6,121,348,NO,46,1
122,4593,6,122,349,NO,46,1
123,4593,6,123,348,NO,46,1
124,4593,6,124,352,NO,46,1
125,4593,6,125,347,NO,46,1
126,4593,6,126,351,NO,46,1
127,4593,6,127,347,NO,46,1
128,4593,6,128,345,NO,46,1
129,4593,6,129,347,NO,46,1
130,4593,6,130,347,NO,46,1
131,4593,6,131,348,NO,46,1
132,4593,6,132,346,NO,46,1
133,4593,6,133,349,NO,46,1
134,4593,6,134,347,NO,46,1
135,4593,6,135,349,NO,46,1
136,4593,6,136,347,NO,46,1
137,9023,6,137,348,NO,46,1
138,9023,6,138,347,NO,46,1
139,9023,6,139,347,NO,46,1
140,9023,6,140,344,NO,46,1
141,9023,6,141,348,NO,46,1
142,5210,7,142,342,NO,46,1
143,5210,7,143,345,NO,46,1
144,5210,7,144,345,NO,46,1
145,5210,7,145,348,NO,46,1
146,5210,7,146,342,NO,46,1
147,5210,7,147,344,NO,46,1
148,5210,7,148,344,NO,46,1
149,5210,7,149,345,NO,46,1
150,5210,7,150,342,NO,46,1
151,5210,7,151,344,NO,46,1
152,5210,7,152,343,NO,46,1
153,5210,7,153,344,NO,46,1
154,5210,7,154,343,NO,46,1
155,5210,7,155,345,NO,46,1
156,9015,7,156,345,NO,46,1
157,9015,7,157,344,NO,46,1
158,9015,7,158,343,NO,46,1
159,9015,7,159,342,NO,46,1
160,9377,7,160,344,NO,46,1
161,9377,7,161,344,NO,46,1
162,9377,7,162,344,NO,46,1
163,9377,7,163,344,NO,46,1
164,9377,7,164,341,NO,46,1
165,9377,7,165,344,NO,46,1
166,4641,8,166,340,NO,46,1
167,4641,8,167,344,NO,46,1
168,4641,8,168,342,NO,46,1
169,4641,8,169,344,NO,46,1
170,4641,8,170,339,NO,46,1
171,4641,8,171,343,NO,46,1
172,4641,8,172,341,NO,46,1
173,4641,8,173,341,NO,46,1
174,4641,8,174,341,NO,46,1
175,4641,8,175,343,NO,46,1
176,4641,8,176,340,NO,46,1
177,4641,8,177,339,NO,46,1
178,4641,8,178,342,NO,46,1
179,4641,8,179,341,NO,46,1
180,4641,8,180,342,NO,46,1
181,9023,8,181,343,NO,46,1
182,9023,8,182,339,NO,46,1
183,9023,8,183,338,NO,46,1
184,9023,8,184,340,NO,46,1
185,9023,8,185,339,NO,46,1
186,4631,8,186,340,NO,46,1
187,4631,8,187,338,NO,46,1
188,4631,8,188,340,NO,46,1
189,4631,8,189,337,NO,46,1
190,4631,8,190,339,NO,46,1
191,4631,8,191,341,NO,46,1
192,4409,9,192,350,NO,43,1
193,4409,9,193,352,NO,43,1
194,4409,9,194,350,NO,43,1
195,4409,9,195,350,NO,43,1
196,4409,9,196,349,NO,43,1
197,4409,9,197,352,NO,43,1
198,4409,9,198,350,NO,43,1
199,4409,9,199,352,NO,43,1
200,4409,9,200,348,NO,43,1
201,4409,9,201,349,NO,43,1
202,4409,9,202,348,NO,43,1
203,4409,9,203,346,NO,43,1
204,4409,9,204,349,NO,43,1
205,4409,9,205,350,NO,43,1
206,4409,9,206,348,NO,43,1
207,4407,9,207,349,NO,43,1
208,4407,9,208,347,NO,43,1
209,4407,9,209,349,NO,43,1
210,4407,9,210,350,NO,43,1
211,4407,9,211,349,NO,43,1
212,4407,9,212,346,NO,43,1
213,4407,9,213,352,NO,43,1
214,4407,9,214,345,NO,43,1
215,4407,9,215,349,NO,43,1
216,4410,9,216,350,NO,43,1
217,4410,9,217,348,NO,43,1
218,4410,9,218,348,NO,43,1
219,4410,9,219,348,NO,43,1
220,4410,9,220,349,NO,43,1
221,4410,9,221,348,NO,43,1
222,4410,9,222,348,NO,43,1
223,4410,9,223,348,NO,43,1
224,4410,9,224,348,NO,43,1
225,5330,10,225,351,NO,43,1
226,5330,10,226,351,NO,43,1
227,5330,10,227,347,NO,43,1
228,5330,10,228,349,NO,43,1
229,5330,10,229,347,NO,43,1
230,5330,10,230,351,NO,43,1
231,5330,10,231,348,NO,43,1
232,5330,10,232,351,NO,43,1
233,5330,10,233,348,NO,43,1
234,5330,10,234,348,NO,43,1
235,4412,10,235,350,NO,43,1
236,4412,10,236,348,NO,43,1
237,4412,10,237,344,NO,43,1
238,4412,10,238,351,NO,43,1
239,4412,10,239,348,NO,43,1
240,4412,10,240,349,NO,43,1
241,4412,10,241,351,NO,43,1
242,4412,10,242,347,NO,43,1
243,4412,10,243,348,NO,43,1
244,4412,10,244,348,NO,43,1
245,4412,10,245,349,NO,43,1
246,4412,10,246,347,NO,43,1
247,4412,10,247,349,NO,43,1
248,4412,10,248,349,NO,43,1
249,4412,10,249,348,NO,43,1
250,4412,10,250,348,NO,43,1
251,4412,10,251,349,NO,43,1
252,9026,10,252,349,NO,43,1
253,9026,10,253,348,NO,43,1
254,9026,10,254,349,NO,43,1
255,9026,10,255,347,NO,43,1
256,9026,10,256,348,NO,43,1
257,9026,10,257,348,NO,43,1
258,9026,10,258,350,NO,43,1
259,9026,10,259,348,NO,43,1
260,4404,11,260,342,NO,43,1
261,4404,11,261,345,NO,43,1
262,4404,11,262,347,NO,43,1
263,4404,11,263,347,NO,43,1
264,4404,11,264,344,NO,43,1
265,4404,11,265,346,NO,43,1
266,4404,11,266,347,NO,43,1
267,4404,11,267,346,NO,43,1
268,4404,11,268,345,NO,43,1
269,4404,11,269,345,NO,43,1
270,9029,11,270,348,NO,43,1
271,9029,11,271,344,NO,43,1
272,9029,11,272,344,NO,43,1
273,9029,11,273,344,NO,43,1
274,9029,11,274,345,NO,43,1
275,9029,11,275,345,NO,43,1
276,9029,11,276,347,NO,43,1
277,9029,11,277,344,NO,43,1
278,9029,11,278,347,NO,43,1
279,9029,11,279,344,NO,43,1
280,8691,11,280,346,NO,43,1
281,8691,11,281,346,NO,43,1
282,8691,11,282,343,NO,43,1
283,8691,11,283,344,NO,43,1
284,8691,11,284,343,NO,43,1
285,8691,11,285,343,NO,43,1
286,8691,11,286,344,NO,43,1
287,8691,11,287,344,NO,43,1
288,9032,11,288,344,NO,43,1
289,9032,11,289,346,NO,43,1
290,9032,11,290,343,NO,43,1
291,9032,11,291,343,NO,43,1
292,9032,11,292,344,NO,43,1
293,9032,11,293,347,NO,43,1
294,9032,11,294,346,NO,43,1
295,9032,11,295,343,NO,43,1
296,9032,11,296,347,NO,43,1
297,4395,12,297,346,NO,42,1
298,4395,12,298,343,NO,42,1
299,4395,12,299,345,NO,42,1
300,4395,12,300,345,NO,42,1
301,4395,12,301,345,NO,42,1
302,4395,12,302,346,NO,42,1
303,4395,12,303,343,NO,42,1
304,4395,12,304,345,NO,42,1
305,4395,12,305,347,NO,42,1
306,4395,12,306,348,NO,42,1
307,4395,12,307,345,NO,42,1
308,4395,12,308,346,NO,42,1
309,4395,12,309,346,NO,42,1
310,4395,12,310,347,NO,42,1
311,4395,12,311,343,NO,42,1
312,9035,12,312,345,NO,42,1
313,9035,12,313,345,NO,42,1
314,9035,12,314,346,NO,42,1
315,9035,12,315,346,NO,42,1
316,9037,12,316,342,NO,42,1
317,9037,12,317,347,NO,42,1
318,9037,12,318,348,NO,42,1
319,9037,12,319,345,NO,42,1
320,9037,12,320,343,NO,42,1
321,9037,12,321,347,NO,42,1
322,9037,12,322,347,NO,42,1
323,9037,12,323,345,NO,42,1
324,9037,12,324,343,NO,42,1
325,9040,12,325,345,NO,42,1
326,9040,12,326,343,NO,42,1
327,9040,12,327,345,NO,42,1
328,9040,12,328,344,NO,42,1
329,9040,12,329,341,NO,42,1
330,9040,12,330,345,NO,42,1
331,5328,13,331,350,NO,42,1
332,5328,13,332,354,NO,42,1
333,5328,13,333,350,NO,42,1
334,5328,13,334,349,NO,42,1
335,5328,13,335,352,NO,42,1
336,5328,13,336,351,NO,42,1
337,5328,13,337,350,NO,42,1
338,5328,13,338,349,NO,42,1
339,9043,13,339,352,NO,42,1
340,9043,13,340,349,NO,42,1
341,9043,13,341,350,NO,42,1
342,9043,13,342,351,NO,42,1
343,9043,13,343,350,NO,42,1
344,9043,13,344,350,NO,42,1
345,9043,13,345,354,NO,42,1
346,9043,13,346,349,NO,42,1
347,4350,13,347,351,NO,42,1
348,4350,13,348,352,NO,42,1
349,4350,13,349,351,NO,42,1
350,4350,13,350,351,NO,42,1
351,4350,13,351,350,NO,42,1
352,4350,13,352,350,NO,42,1
353,4350,13,353,350,NO,42,1
354,9049,13,354,349,NO,42,1
355,9049,13,355,349,NO,42,1
