id_mesa,id_establecimiento,id_centro_de_distribucion,descripcion,ciudadanos_habilitados,extranjera
1,4367,1,1,341,NO
2,4367,1,2,341,NO
3,4367,1,3,341,NO
4,4367,1,4,341,NO
5,4367,1,5,341,NO
6,4367,1,6,341,NO
7,4367,1,7,341,NO
8,4367,1,8,340,NO
9,4367,1,9,340,NO
10,4367,1,10,340,NO
11,4367,1,11,340,NO
12,5043,1,12,340,NO
13,5043,1,13,340,NO
14,5043,1,14,340,NO
15,5043,1,15,340,NO
16,5043,1,16,340,NO
17,5043,1,17,340,NO
18,5043,1,18,340,NO
19,4369,1,19,340,NO
20,4369,1,20,340,NO
21,4369,1,21,340,NO
22,4369,1,22,340,NO
23,4369,1,23,340,NO
24,4369,1,24,340,NO
25,4369,1,25,340,NO
26,4369,1,26,340,NO
27,4369,1,27,340,NO
28,4369,1,28,340,NO
29,9009,1,29,340,NO
30,9009,1,30,340,NO
31,9009,1,31,340,NO
32,5113,1,32,349,NO
33,5113,1,33,349,NO
34,5113,1,34,349,NO
35,5113,1,35,349,NO
36,5113,1,36,349,NO
37,5113,1,37,349,NO
38,5113,1,38,349,NO
39,5113,1,39,349,NO
40,5113,1,40,349,NO
41,5113,1,41,349,NO
42,5113,1,42,349,NO
43,5113,1,43,349,NO
44,5113,1,44,349,NO
45,5113,1,45,349,NO
46,7749,1,46,349,NO
47,7749,1,47,349,NO
48,7749,1,48,349,NO
49,7749,1,49,349,NO
50,7749,1,50,348,NO
51,7749,1,51,348,NO
52,7749,1,52,348,NO
53,7749,1,53,348,NO
54,7749,1,54,348,NO
55,9012,1,55,348,NO
56,9012,1,56,348,NO
57,9012,1,57,348,NO
58,9012,1,58,348,NO
59,9012,1,59,348,NO
60,9012,1,60,348,NO
61,8391,1,61,311,NO
62,8391,1,62,310,NO
63,8391,1,63,310,NO
64,8391,1,64,310,NO
65,8391,1,65,310,NO
66,8391,1,66,310,NO
67,8066,1,67,332,NO
68,8066,1,68,332,NO
69,8066,1,69,332,NO
70,8066,1,70,332,NO
71,8066,1,71,332,NO
72,8066,1,72,332,NO
73,4636,1,73,350,NO
74,4636,1,74,350,NO
75,4636,1,75,350,NO
76,4636,1,76,350,NO
77,4636,1,77,350,NO
78,4636,1,78,350,NO
79,4636,1,79,350,NO
80,4636,1,80,350,NO
81,4636,1,81,350,NO
82,4636,1,82,350,NO
83,4636,1,83,350,NO
84,4636,1,84,350,NO
85,4636,1,85,350,NO
86,4639,1,86,350,NO
87,4639,1,87,350,NO
88,4639,1,88,350,NO
89,4639,1,89,349,NO
90,4639,1,90,349,NO
91,4639,1,91,349,NO
92,4639,1,92,349,NO
93,4639,1,93,349,NO
94,4639,1,94,349,NO
95,4596,1,95,347,NO
96,4596,1,96,347,NO
97,4596,1,97,347,NO
98,4596,1,98,347,NO
99,4596,1,99,347,NO
100,4596,1,100,347,NO
101,4596,1,101,347,NO
102,4596,1,102,347,NO
103,4596,1,103,347,NO
104,4596,1,104,347,NO
105,4596,1,105,347,NO
106,4596,1,106,347,NO
107,4596,1,107,347,NO
108,4596,1,108,347,NO
109,4596,1,109,347,NO
110,4596,1,110,347,NO
111,4596,1,111,347,NO
112,4596,1,112,347,NO
113,4596,1,113,347,NO
114,4596,1,114,347,NO
115,4593,1,115,347,NO
116,4593,1,116,347,NO
117,4593,1,117,347,NO
118,4593,1,118,347,NO
