id_partido,descripcion,nro_partido
21,MST - Nueva Izquierda,705
23,Frente para la Victoria,707
16,Energía Ciudadana Organizada - ECO,700
82,Movimiento al Socialismo - MAS,13
22,Alianza Camino Popular,706
61,Partido Humanista,22
20,Movimiento para el Bien Común,704
24,Frente por Buenos Aires,708
18,Union PRO,702
80,Bandera Vecinal,327
81,Autodeterminación y Libertad,187
35,Es Posible,63
17,Frente de Izq. y los Trabajadores,701
19,Alianza Movimiento Federal,703
26,Alianza Alternativa Bs. As. - ALBA,710
25,Frente SURGEN,709
